ID;cement;class;grade;blast_furnace_slag;fly_ash;water;superplasticizer;coarse_aggregate;fine_aggregate;age;concrete_compressive_strength
1;540;2;good;0;0;162;2.5;1040;676;28;79.99
2;540;2;moderate;0;0;162;2.5;1055;676;28;61.89
3;332.5;3;fair;142.5;0;228;0;932;594;270;40.27
4;332.5;3;good;142.5;0;228;0;932;594;365;41.05
5;198.6;1;moderate;132.4;0;192;0;978.4;825.5;360;44.3
6;266;1;fair;114;0;228;0;932;670;90;47.03
7;380;2;good;95;0;228;0;932;594;365;43.7
8;380;2;moderate;95;0;228;0;932;594;28;36.45
9;266;3;fair;114;0;228;0;932;670;28;45.85
10;475;3;good;0;0;228;0;932;594;28;39.29
11;198.6;1;moderate;132.4;0;192;0;978.4;825.5;90;38.07
12;198.6;1;fair;132.4;0;192;0;978.4;825.5;28;28.02
13;427.5;2;good;47.5;0;228;0;932;594;270;43.01
14;190;2;moderate;190;0;228;0;932;670;90;42.33
15;304;3;fair;76;0;228;0;932;670;28;47.81
16;380;3;good;0;0;228;0;932;670;90;52.91
17;139.6;1;moderate;209.4;0;192;0;1047;806.9;90;39.36
18;342;1;fair;38;0;228;0;932;670;365;56.14
19;380;2;good;95;0;228;0;932;594;90;40.56
20;475;2;moderate;0;0;228;0;932;594;180;42.62
21;427.5;3;fair;47.5;0;228;0;932;594;180;41.84
22;139.6;3;good;209.4;0;192;0;1047;806.9;28;28.24
23;139.6;1;moderate;209.4;0;192;0;1047;806.9;3;8.06
24;139.6;1;fair;209.4;0;192;0;1047;806.9;180;44.21
25;380;2;good;0;0;228;0;932;670;365;52.52
26;380;2;moderate;0;0;228;0;932;670;270;53.3
27;380;3;fair;95;0;228;0;932;594;270;41.15
28;342;3;good;38;0;228;0;932;670;180;52.12
29;427.5;1;moderate;47.5;0;228;0;932;594;28;37.43
30;475;1;fair;0;0;228;0;932;594;7;38.6
31;304;2;good;76;0;228;0;932;670;365;55.26
32;266;2;moderate;114;0;228;0;932;670;365;52.91
33;198.6;3;fair;132.4;0;192;0;978.4;825.5;180;41.72
34;475;3;good;0;0;228;0;932;594;270;42.13
35;190;1;moderate;190;0;228;0;932;670;365;53.69
36;237.5;1;fair;237.5;0;228;0;932;594;270;38.41
37;237.5;2;good;237.5;0;228;0;932;594;28;30.08
